feature_setting,feature_groups,feature_count,model_name,target_strategy,combined_score__mean,combined_score__std,target_delta_kinematic_viscosity_pct__rmse__mean,target_delta_kinematic_viscosity_pct__rmse__std,target_oxidation_eot_a_per_cm__rmse__mean,target_oxidation_eot_a_per_cm__rmse__std,target_delta_kinematic_viscosity_pct__mae__mean,target_delta_kinematic_viscosity_pct__mae__std,target_oxidation_eot_a_per_cm__mae__mean,target_oxidation_eot_a_per_cm__mae__std,target_delta_kinematic_viscosity_pct__r2__mean,target_delta_kinematic_viscosity_pct__r2__std,target_oxidation_eot_a_per_cm__r2__mean,target_oxidation_eot_a_per_cm__r2__std,fit_time_seconds__mean,fit_time_seconds__std,best_inner_cv_score__mean,best_inner_cv_score__std,rank_combined_score
conditions_structure_family,"[""scenario_conditions"", ""structure_and_mass"", ""component_families""]",77,pls_regression,raw,1.716251565364442,0.7784463696564603,135.82567417450448,67.73268332302453,34.22248389968278,3.7371813749913563,79.72006493415438,22.356760622582897,27.785589669536073,2.6475452067064094,-0.44486191120426904,1.9279041695398038,0.06723175582370895,0.22687229336451212,0.10417060842737555,0.010771567160168536,1.7667101262375315,0.20953963426501826,1
conditions_structure_family_coverage,"[""scenario_conditions"", ""structure_and_mass"", ""component_families"", ""coverage_and_missingness""]",102,pls_regression,raw,1.735799539059224,0.8213698546980099,136.835736872571,70.42874824774736,35.36927596390732,3.607394442328959,79.66697251231498,23.564297407735864,28.97150363737582,2.948046351808949,-0.3647805031257564,1.6993414592418052,0.014300010457611955,0.16396483334437698,0.09213789158966393,0.005293742490585967,1.7907887857668072,0.21294569642646108,2
conditions_structure,"[""scenario_conditions"", ""structure_and_mass""]",32,pls_regression,raw,1.7630875050764978,0.7837981510682173,139.71638735701345,66.87677202912789,35.229314888006776,3.3375710777425573,70.73949706688354,17.121997906081766,29.676617689600608,2.1812813766446078,-1.2909950585245764,3.8742337699462532,0.016555029975648526,0.19674215087902927,0.11536299160216004,0.015494911109891532,1.8022298355045652,0.13526366666497555,3
conditions_only,"[""scenario_conditions""]",4,pls_regression,raw,1.7792330773504212,0.7957334444046665,142.14719062094935,68.41020782161134,34.04279405256895,2.5988051098458778,64.37487950891337,18.1467908818222,29.715436792218533,1.9737975138960093,-1.3390040434332755,3.9308666674262174,0.08556688292503459,0.12257749772058012,0.05091567516792565,0.012928536236880164,1.780713608771504,0.12567918291581917,4
full_feature_set,"[""scenario_conditions"", ""structure_and_mass"", ""component_families"", ""coverage_and_missingness"", ""weighted_numeric_properties""]",410,pls_regression,raw,1.8767868168126605,0.84704899511567,150.94315701449648,73.98707054866757,34.54894168577534,3.045378085747483,82.24903917112002,25.573460339930154,27.764806827874718,2.837425212699906,-0.17089756159658787,0.7343612537540972,0.05766972146035134,0.14209454699031626,0.16630146680399777,0.01206784581911277,1.9672154728419156,0.1631061929108221,5
