fold_index,model_name,target_strategy,n_train,n_valid,fit_time_seconds,best_inner_cv_score,best_params_json,viscosity_scale,oxidation_scale,target_delta_kinematic_viscosity_pct__rmse,target_delta_kinematic_viscosity_pct__mae,target_delta_kinematic_viscosity_pct__r2,target_delta_kinematic_viscosity_pct__nrmse_iqr,target_oxidation_eot_a_per_cm__rmse,target_oxidation_eot_a_per_cm__mae,target_oxidation_eot_a_per_cm__r2,target_oxidation_eot_a_per_cm__nrmse_iqr,combined_score,combined_r2_mean
1,ridge_multioutput,raw,133,34,0.36217500001657754,1.732651418104682,"{""model__estimator__alpha"": 0.3, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",44.9,59.68000000000001,265.069342337253,104.73079498014746,0.2900893435567814,5.903548827110312,28.594098788710173,22.078954755602716,0.3702490997207618,0.4791236392210149,3.1913362331656634,0.3301692216387716
1,pls_regression,raw,133,34,0.2353401670116,1.7040543099884176,"{""model__n_components"": 4}",44.9,59.68000000000001,258.6338378500835,103.62384729886968,0.3241421180904268,5.7602191057925065,31.50973624384012,23.895975170182645,0.2352746159964848,0.5279781542198411,3.144098630006174,0.2797083670434558
1,multitask_elasticnet,raw,133,34,5.892064374987967,1.4671385616572108,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.2, ""reduce_dim"": ""passthrough""}",44.9,59.68000000000001,251.76149385554916,94.22103751870705,0.35958232736289797,5.607160219499981,23.81682700396001,18.925136222646007,0.563098259576193,0.39907551950335135,3.0031178695016663,0.46134029346954547
1,ridge_multioutput,viscosity_asinh,133,34,0.2841132499743253,15.778612486994694,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""passthrough""}",44.9,59.68000000000001,267.97387826139135,111.18354447659391,0.274446205762755,5.968237823193571,22.27374361788231,17.231261136633986,0.6178776822380281,0.37321956464280004,3.1707286939181856,0.44616194400039155
1,pls_regression,viscosity_asinh,133,34,0.23214649996953085,7.309894046555162,"{""model__n_components"": 8}",44.9,59.68000000000001,304.7620154511137,95.8254767330296,0.06156030810517443,6.787572727196297,22.94431477345485,17.937007708929574,0.5945230652534079,0.38445567649890827,3.5860142018476027,0.3280416866792912
1,multitask_elasticnet,viscosity_asinh,133,34,2.232470834045671,1.9350414820271389,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",44.9,59.68000000000001,285.7038072605588,89.72376913298075,0.17526058596318006,6.363113747451198,23.805084015483743,19.194311739899387,0.5635289859098729,0.3988787536106525,3.3809962505309255,0.36939478593652647
2,ridge_multioutput,raw,133,34,0.32520254101837054,3.3352599853425855,"{""model__estimator__alpha"": 30.0, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",50.16,60.730000000000004,123.01899360171501,70.99085716283071,-0.4538495990836813,2.452531770369119,26.174545170531367,19.509409837726846,0.311312383701973,0.4309986031702843,1.4417651867697017,-0.07126860769085414
2,pls_regression,raw,133,34,0.19411174999549985,1.9598042873286075,"{""model__n_components"": 4}",50.16,60.730000000000004,123.48998871444412,74.27048943840121,-0.46500343601614147,2.461921625088599,31.32353418411226,25.67617336174206,0.013708023831670246,0.5157835367052899,1.4888525808969444,-0.2256477060922356
2,multitask_elasticnet,raw,133,34,9.647982791997492,1.909071555536394,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.8, ""reduce_dim"": ""passthrough""}",50.16,60.730000000000004,124.86476806087619,82.08795634131528,-0.49780394802100303,2.4893295067957775,21.91258641243641,17.32458975691637,0.5173289294044757,0.3608197993156004,1.425074653055689,0.009762490691736347
2,ridge_multioutput,viscosity_asinh,133,34,0.2912607499747537,6.737466173772696,"{""model__estimator__alpha"": 10.0, ""reduce_dim"": ""PCA(n_components=0.95, svd_solver='full')""}",50.16,60.730000000000004,112.57523439332009,42.87200316946347,-0.21747726826936553,2.2443228547312617,26.321444299269384,19.72118279876659,0.30356046280990223,0.4334174921664644,1.338870173448863,0.04304159727026835
